Metric,bench_tests/bin/test0_sys,bench_tests/bin/test0_custom,bench_tests/bin/test1_sys,bench_tests/bin/test1_custom,bench_tests/bin/test2_sys,bench_tests/bin/test2_custom,bench_tests/bin/test3_sys,bench_tests/bin/test3_custom,bench_tests/bin/test4_sys,bench_tests/bin/test4_custom,bench_tests/bin/test5_sys,bench_tests/bin/test5_custom
Command being timed,"""bench_tests/bin/test0""","""bench_tests/bin/test0""","""bench_tests/bin/test1""","""bench_tests/bin/test1""","""bench_tests/bin/test2""","""bench_tests/bin/test2""",,"""bench_tests/bin/test3""",,"""bench_tests/bin/test4""",,"""bench_tests/bin/test5"""
User time (seconds),0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,,0.00
System time (seconds),0.00,0.00,0.00,0.00,0.00,0.00,,0.01,,0.00,,0.00
Percent of CPU this job got,74%,90%,84%,0%,0%,100%,,88%,,89%,,100%
Elapsed (wall clock) time (h:mm:ss or m:ss): 0,00.00,00.00,00.00,00.00,00.00,00.00,,00.01,,00.00,,00.00
Average shared text size (kbytes),0,0,0,0,0,0,,0,,0,,0
Average unshared data size (kbytes),0,0,0,0,0,0,,0,,0,,0
Average stack size (kbytes),0,0,0,0,0,0,,0,,0,,0
Average total size (kbytes),0,0,0,0,0,0,,0,,0,,0
Maximum resident set size (kbytes),1152,1152,1152,1152,1152,1152,,17472,,1152,,1152
Average resident set size (kbytes),0,0,0,0,0,0,,0,,0,,0
Major (requiring I/O) page faults,0,0,0,0,0,0,,0,,0,,0
Minor (reclaiming a frame) page faults,65,70,65,70,62,70,,8267,,71,,371
Voluntary context switches,1,1,1,1,1,1,,1,,1,,1
Involuntary context switches,0,0,0,0,0,1,,1,,0,,4
Swaps,0,0,0,0,0,0,,0,,0,,0
File system inputs,0,0,0,0,0,0,,0,,0,,0
File system outputs,0,0,0,0,0,0,,0,,0,,0
Socket messages sent,0,0,0,0,0,0,,0,,0,,0
Socket messages received,0,0,0,0,0,0,,0,,0,,0
Signals delivered,0,0,0,0,0,0,,0,,0,,0
Page size (bytes),4096,4096,4096,4096,4096,4096,,4096,,4096,,4096
Exit status,0,0,0,0,0,0,,0,,0,,0
